,lat,lng,city,city_FA
0,35.7,51.4167,Tehran,تهران
1,36.3069,59.6042,Mashhad,مشهد
2,32.6447,51.6675,Esfahan,اصفهان
3,35.8327,50.9915,Karaj,کرج
4,29.61,52.5425,Shiraz,شیراز
5,38.0833,46.2833,Tabriz,تبریز
6,34.64,50.8764,Qom,قم
7,31.3203,48.6692,Ahvaz,اهواز
8,34.3167,47.0686,Kermanshah,کرمانشاه
9,37.5486,45.0675,Orumiyeh,ارومیه
10,37.2833,49.6,Rasht,رشت
11,34.9069,48.4414,Bahar,بهار
12,29.4833,60.8667,Zahedan,زاهدان
13,34.8,48.5167,Hamadan,همدان
14,30.2833,57.0667,Kerman,کرمان
15,38.25,48.3,Ardabil,اردبیل
16,27.2,56.25,Bandar `Abbas,بندرعباس
17,34.08,49.7,Arak,اراک
18,35.5522,51.235,Eslamshahr,اسلامشهر
19,36.6667,48.4833,Zanjan,زنجان
20,33.9833,51.4333,Kashan,کاشان
21,31.8972,54.3678,Yazd,یزد
22,35.3097,46.9989,Sanandaj,سنندج
23,36.2688,50.0041,Qazvin,قزوین
24,33.4667,48.35,Khorramabad,خرم آباد
25,30.3307,48.2797,Madan,مدان
26,35.7214,51.1089,Shahr-e Qods,شهرقدس
27,36.83,54.48,Gorgan,گرگان
28,35.6597,51.0592,Shahriar,شهریار
29,35.6658,50.9767,Malard,ملارد
30,36.5504,53.1,Sarta,سارتا
31,32.3878,48.4033,Dezful,دزفول
32,36.55,52.6833,Babol,بابل
33,36.2167,57.6667,Sabzevar,سبزوار
34,36.4669,52.3569,Amol,آمل
35,35.4817,51.6803,Pakdasht,پاکدشت
36,32.6342,51.3667,Najafabad,نجف آباد
37,33.8972,48.7514,Borujerd,بروجرد
38,35.4394,51.5689,Qarchak,قرچک
39,35.2714,51.6511,Varamin,ورامین
40,36.22,58.82,Neyshabur,نیشابور
41,35.0211,50.3564,Saveh,ساوه
42,32.7,51.5211,Khomeyni Shahr,خمینی شهر
43,35.5644,51.1647,Nasim Shahr,نسیم شهر
44,36.4611,52.8606,Qa'em Shahr,قائم شهر
45,37.4667,57.3333,Bojnurd,بجنورد
46,28.9667,50.8333,Bandar-e Bushehr,بندر بوشهر
47,36.5211,46.2089,Bukan,بوکان
48,35.5833,53.3833,Semnan,سمنان
49,35.7225,50.9883,Fardis,فردیس
50,38.5503,44.9519,Khowy,خووی
51,32.8664,59.2211,Birjand,بیرجند
52,37.3919,46.2392,Maragheh,مراغه
53,29.47,55.73,Sirjan,سیرجان
54,32.8639,51.5475,Shahin Shahr,شاهین شهر
55,34.2942,48.82,Malayer,ملایر
56,36.765,45.721,Mahabad,مهاباد
57,36.25,46.2736,Saqqez,سقز
58,30.5589,49.1981,Bandar-e Mahshahr,بندر ماهشهر
59,30.4,56,Rafsanjan,رفسنجان
60,32.3256,50.8644,Shahr-e Kord,شهرکرد
61,33.7842,46.595,Golmeh,گلمه
62,37.25,55.1672,Gonbad-e Kavus,گنبدکاووس
63,36.4181,54.9764,Shahrud,شاهرود
64,29.8742,52.8025,Marvdasht,مرودشت
65,37.1118,58.5015,Quchan,قوچان
66,35.8622,50.8717,Kamalshahr,کمالشهر
67,28.5,53.56,Jahrom,جهرم
